Date,Open,High,Low,Close,Adj Close,Volume
23-07-2021,116,138.899994,115,126,126,694895290
26-07-2021,126.349998,143.75,125.300003,140.649994,140.649994,249723854
27-07-2021,141.699997,147.800003,127.75,132.899994,132.899994,240341900
28-07-2021,131,135,123.550003,131.199997,131.199997,159793731
29-07-2021,134.949997,144,132.199997,141.550003,141.550003,117973089
30-07-2021,142.600006,142.699997,131,133.5,133.5,88312522
02-08-2021,135.75,140.75,135.149994,139.699997,139.699997,66909732
03-08-2021,137,140.800003,137,139.399994,139.399994,46610001
04-08-2021,139.800003,141,135.25,138.399994,138.399994,41134419
05-08-2021,138.75,138.899994,132,134.949997,134.949997,38437134
06-08-2021,135.5,136.199997,130.100006,131.350006,131.350006,31975356
09-08-2021,132.399994,133.550003,127.25,130.600006,130.600006,41358299
10-08-2021,131,131.449997,122.099998,125.199997,125.199997,43164004
11-08-2021,123,138.75,123,135.649994,135.649994,111702781
12-08-2021,135.649994,137.399994,132.050003,135.449997,135.449997,51256670
13-08-2021,133.850006,139.75,132.100006,137.350006,137.350006,33674300
16-08-2021,136.399994,136.899994,132.25,134.949997,134.949997,20305361
17-08-2021,132.800003,134.350006,130.600006,132.5,132.5,15815187
18-08-2021,134.5,136.800003,133.300003,134.949997,134.949997,22566920
20-08-2021,134.949997,141.449997,133,139.300003,139.300003,53789580
23-08-2021,137.800003,137.800003,124.75,127.25,127.25,68470861
24-08-2021,127.25,127.949997,120.5,125,125,56713556
25-08-2021,126,128.5,123.099998,124.25,124.25,51078811
26-08-2021,125.25,127.150002,124.349998,125.849998,125.849998,20645403
27-08-2021,126.599998,129.5,124.099998,124.699997,124.699997,22227595
30-08-2021,127.849998,135.449997,127.550003,133.550003,133.550003,45239080
31-08-2021,134,135.199997,131.350006,134.550003,134.550003,24640924
01-09-2021,134.550003,135.100006,130.699997,132.600006,132.600006,16162269
02-09-2021,132,138.5,131.5,137.600006,137.600006,27882466
03-09-2021,135.949997,151.399994,135.600006,149.75,149.75,113381518
06-09-2021,149.25,149.350006,143.25,144.050003,144.050003,34811620
07-09-2021,144.899994,146.850006,138.550003,140.050003,140.050003,30421931
08-09-2021,141,143.600006,139.050003,141.25,141.25,28133284
09-09-2021,141.399994,142.899994,140,141.600006,141.600006,18970691
13-09-2021,143.25,144.25,142,143.149994,143.149994,17426798
14-09-2021,145.149994,152.75,136.199997,144.100006,144.100006,112358935
15-09-2021,142.949997,145,140.75,142.649994,142.649994,38892545
16-09-2021,143,144,141.5,142.050003,142.050003,17634206
17-09-2021,142.550003,146.899994,137.149994,137.899994,137.899994,23264091
20-09-2021,137.699997,140.850006,133.25,134.300003,134.300003,19799941
21-09-2021,137.199997,138,131,133.449997,133.449997,19330196
22-09-2021,135.399994,135.399994,131.300003,132.100006,132.100006,16923375
23-09-2021,134.5,140.399994,133.050003,137.300003,137.300003,31779169
24-09-2021,137.550003,139.5,136.050003,136.649994,136.649994,13099391
27-09-2021,139.850006,144.75,138,143.699997,143.699997,26041244
28-09-2021,143.899994,143.899994,137.649994,139,139,13489232
29-09-2021,138,139.5,136.5,138.5,138.5,10801439
30-09-2021,139.199997,139.199997,136.149994,136.600006,136.600006,7825751
01-10-2021,137.300003,140.5,137,138,138,11940576
04-10-2021,139.100006,140,138,139.100006,139.100006,11995299
05-10-2021,138.75,138.800003,137.149994,137.949997,137.949997,10912142
06-10-2021,138.75,139.199997,133.699997,134.949997,134.949997,9988184
07-10-2021,136.75,138.449997,136.050003,137.100006,137.100006,7317664
08-10-2021,138,138,135.699997,136.149994,136.149994,6207969
11-10-2021,137.5,137.5,136.149994,136.850006,136.850006,4395523
12-10-2021,137.300003,137.75,135.5,136.600006,136.600006,5600652
13-10-2021,137.25,137.399994,134.350006,135.449997,135.449997,6351349
14-10-2021,135.899994,137.300003,133.699997,135,135,8688177
18-10-2021,136,146.149994,135.899994,144.050003,144.050003,31446800
19-10-2021,144.899994,145.100006,137.25,138.550003,138.550003,14688308
20-10-2021,138.5,140.399994,133.850006,137.899994,137.899994,12607297
21-10-2021,139.75,139.899994,135.800003,138.149994,138.149994,5951873
22-10-2021,138.949997,142,135.800003,137.75,137.75,11468458
25-10-2021,138,138.949997,131.550003,132.699997,132.699997,13530512
26-10-2021,133,137.350006,133,135.449997,135.449997,6445894
27-10-2021,136.199997,139.25,134.5,134.800003,134.800003,8982174
28-10-2021,135.350006,136.5,131.5,135.600006,135.600006,11936370
29-10-2021,135,135,130.5,131.550003,131.550003,12925877
01-11-2021,133.600006,134.300003,132,132.649994,132.649994,6200243
02-11-2021,132.699997,133.600006,131.75,132.449997,132.449997,7367792
03-11-2021,132.899994,132.899994,127.5,128.350006,128.350006,15919925
04-11-2021,130,132.399994,130,131.350006,131.350006,4101820
08-11-2021,132.949997,133.600006,130.600006,131.149994,131.149994,17645794
09-11-2021,133,138.899994,131.649994,137.649994,137.649994,26457361
10-11-2021,136.5,139.149994,135,136.050003,136.050003,16816048
11-11-2021,142,144,132.600006,140.899994,140.899994,83582039
12-11-2021,142,155.199997,142,153,153,140547798
15-11-2021,149,163.300003,142.350006,160.300003,160.300003,121197599
16-11-2021,161.149994,169,153.800003,157.600006,157.600006,109342731
17-11-2021,155.949997,162.25,154.25,156.550003,156.550003,44505156
18-11-2021,158.899994,161.850006,152.5,154.699997,154.699997,46802082
22-11-2021,158.25,158.25,136.800003,149.75,149.75,79417849
23-11-2021,150,152,144.25,148.699997,148.699997,38236588
24-11-2021,151.100006,156.399994,149.600006,155.5,155.5,53749976
25-11-2021,157,161.300003,154.050003,159.75,159.75,48900473
26-11-2021,158.449997,158.449997,146.25,148.149994,148.149994,35968151
29-11-2021,148.800003,153.899994,137.5,149.100006,149.100006,43972445
30-11-2021,149.949997,158,145.300003,152.550003,152.550003,258130152
01-12-2021,153,157.899994,149.449997,151.399994,151.399994,32604856
02-12-2021,151.600006,153.800003,147.800003,150.649994,150.649994,23508261
03-12-2021,152.100006,152.800003,143.850006,144.899994,144.899994,26452896
06-12-2021,146.600006,146.850006,135.300003,138.550003,138.550003,33244501
07-12-2021,141.350006,143.800003,138.649994,139.800003,139.800003,36835410
08-12-2021,141,148.600006,140.25,147.600006,147.600006,37324365
09-12-2021,148.649994,148.649994,145.300003,146.25,146.25,18377899
10-12-2021,144.100006,146.399994,139.75,140.550003,140.550003,27881031
13-12-2021,142.199997,144.449997,141.899994,142.649994,142.649994,20318225
14-12-2021,144.699997,144.949997,140,140.649994,140.649994,19474412
15-12-2021,140.5,142,140,140.600006,140.600006,12791660
16-12-2021,141.899994,142.850006,137.399994,138.399994,138.399994,17182101
17-12-2021,138.949997,141,132.350006,135.350006,135.350006,95386202
20-12-2021,135.300003,135.75,124.599998,126.550003,126.550003,36064413
21-12-2021,128.850006,132.850006,128.600006,131.600006,131.600006,20442777
22-12-2021,133.050003,139.75,133,138.649994,138.649994,19425711
23-12-2021,140.050003,140.75,132.100006,133,133,21934786
24-12-2021,134.5,134.5,129.600006,131.449997,131.449997,17625584
27-12-2021,131.350006,133.850006,128,132.75,132.75,13934154
28-12-2021,133.699997,134,131.649994,132.850006,132.850006,11170275
29-12-2021,132.699997,137.699997,131.550003,137.100006,137.100006,18914246
30-12-2021,137.050003,137.050003,133.300003,133.949997,133.949997,8369208
31-12-2021,133.850006,138.399994,133.399994,137.399994,137.399994,11452243
03-01-2022,139.699997,142.449997,138.300003,141.350006,141.350006,22518241
04-01-2022,141.350006,141.550003,137.600006,138.350006,138.350006,10705792
05-01-2022,137.899994,137.899994,133.300003,133.949997,133.949997,15874857
